"Token", "Item Name", "Description", "Category", "SKU", "Variation Name", "Price", "Enabled Fraser Highland Shoppe", "Current Quantity Fraser Highland Shoppe", "New Quantity Fraser Highland Shoppe", "Stock Alert Enabled Fraser Highland Shoppe", "Stock Alert Count Fraser Highland Shoppe", "Price Fraser Highland Shoppe", "Enabled DEVEL", "Current Quantity DEVEL", "New Quantity DEVEL", "Stock Alert Enabled DEVEL", "Stock Alert Count DEVEL", "Price DEVEL", "Tax - GST (5%)"
,"Bass Drum Mallets Black","Black Bass Drum Mallets","Drum Sticks and Mallets",D-BD-Mallet-B,Regular,45.10,Y,1,1,Y,0,,N,,,,,,Y
,"Bass Drum Mallets Red","Red Bass Drum Mallets","Drum Sticks and Mallets",D-BD-Mallet-R,Regular,45.10,Y,1,1,Y,0,,N,,,,,,Y
,"Colin McNutt Marching Snare","Oval tip with a medium-long taper provides great balance with quick response at all dynamic levels. In honey hickory. Length = 17"" Diameter = .690"".","Drum Sticks and Mallets",SCM,Regular,19.05,Y,1,1,Y,0,,N,,,,,,Y
,"KP2 Drum Sticks","The KP2 is the world&#146;s best selling pipe band snare drum stick. Used by most of the top drum corps around the world, this stick has a perfect balance for total control and high definition and pitch from the snare drum. The KP2 is currently the favoured stick of Jim Kilpatrick MBE and his Shotts drum corps.","Drum Sticks and Mallets",D-S-KP2,Regular,30.00,Y,1,1,Y,3,,N,,,,,,Y
,"KP2 Drum Sticks (Black)","The KP2 is the world&#146;s best selling pipe band snare drum stick. Used by most of the top drum corps around the world, this stick has a perfect balance for total control and high definition and pitch from the snare drum. The KP2 is currently the favoured stick of Jim Kilpatrick MBE and his Shotts drum corps.","Drum Sticks and Mallets",D-S-KP2-Black,Regular,30.00,Y,2,2,Y,0,,N,,,,,,Y
,"KP2 Drum Sticks (Blue)","The KP2 is the world&#146;s best selling pipe band snare drum stick. Used by most of the top drum corps around the world, this stick has a perfect balance for total control and high definition and pitch from the snare drum. The KP2 is currently the favoured stick of Jim Kilpatrick MBE and his Shotts drum corps.","Drum Sticks and Mallets",D-S-KP2-Blue,Regular,30.00,Y,2,2,Y,0,,N,,,,,,Y
,"KP2 Drum Sticks (Red)","The KP2 is the world&#146;s best selling pipe band snare drum stick. Used by most of the top drum corps around the world, this stick has a perfect balance for total control and high definition and pitch from the snare drum. The KP2 is currently the favoured stick of Jim Kilpatrick MBE and his Shotts drum corps.","Drum Sticks and Mallets",D-S-KP2-Red,Regular,30.00,Y,2,2,Y,0,,N,,,,,,Y
,"KP3 Drum Sticks","The KP3 model is designed for the player that wants a fuller drum sound. It is one of the most popular sticks on the market today and has the thickest profile in the KP Signature stick range. A favourite of drummers wanting to use a slightly heavier stick, the KP3 is also used by many to develop great technique.","Drum Sticks and Mallets",D-S-KP3,Regular,25.71,Y,2,2,Y,0,,N,,,,,,Y
,"Lee Beddis Corpmaster","Medium tear drop tip and short taper for clarity and projection. Length = 17"" Diameter = .700"".","Drum Sticks and Mallets",VF-SLB,Regular,19.95,Y,0,0,Y,0,,N,,,,,,Y
,"Ralph Hardimon Corpsmaster ","In hickory with a unique barrel tip (wood) and long taper for quick rebound and added control. Length = 17"" Diameter = .710"".","Drum Sticks and Mallets",SRH,Regular,19.05,Y,2,2,Y,0,,N,,,,,,Y
,"Ralph Hardimon Indoor Snare","In hickory with a Quick taper and barrel tip provide great sounds and articulation required for indoor activity. Length = 16 7/10"", Diameter = .675"".","Drum Sticks and Mallets",SRHI,Regular,19.05,Y,2,2,Y,0,,N,,,,,,Y
,"RB 2B drum sticks with Nylon Tip","RB&#039;s 2B nylon-tip wood-tip drum sticks made from quality maple. Paired with colour packaged sleeve.","Drum Sticks and Mallets",RB-2BN,Regular,4.76,Y,3,3,Y,0,,N,,,,,,Y
,"RB 2B drum sticks with wood Tip","RB&#039;s 2B wood-tip drum sticks made from quality maple. Paired with colour packaged sleeve.","Drum Sticks and Mallets",RB-2B,Regular,4.76,Y,19,19,Y,0,,N,,,,,,Y
,"RB 5A drum sticks","RB&#039;s 5A wood-tip drum sticks made from quality maple. Paired with colour packaged sleeve.","Drum Sticks and Mallets",RB-5A,Regular,4.76,Y,0,0,Y,1,,N,,,,,,Y
,"RB 5A drum sticks with Nylon Tip","RB&#039;s 5A  nylon-tip wood-tip drum sticks made from quality maple. Paired with colour packaged sleeve.","Drum Sticks and Mallets",RB-5AN,Regular,4.76,Y,1,1,Y,1,,N,,,,,,Y
,"Rhythm Tenor Mallets. Black ","Black Rhythm Tenor Mallets","Drum Sticks and Mallets",D-T-Mallets-B,Regular,33.33,Y,0,0,Y,1,,N,,,,,,Y
,"Rhythm Tenor Mallets. Red","Red Rhythm Tenor Mallets","Drum Sticks and Mallets",D-T-Mallets-R,Regular,33.33,Y,0,0,Y,1,,N,,,,,,Y
,"Snare Stick Hickory 17"" Corpsmaster","Very long taper for quick rebound and smooth action. Tip produces a full, yet crisp snare sound. Length = 17"" Diameter = .715"".","Drum Sticks and Mallets",VF-MS3,Regular,19.05,Y,1,1,Y,0,,N,,,,,,Y
,"TyFry Practice Mallets",,"Drum Sticks and Mallets",mallets-tenor-p-ty,Regular,100.00,Y,0,0,Y,0,,N,,,,,,Y
,"TyFry Ultimate Tenor Mallets BLACK","The new patent-pending TyFry Ultimate has many new key features resulting from years of research & development: New lighter weight, sleek fully integrated 8.25inch injection moulded shaft; Industry-leading engineering combining the strength and feel of traditional Malacca cane with a modern graphite metallic look; Cutting edge tri-density Permatone head technology has reduced weight in the head, refined balance and makes the Ultimate the most aerodynamic mallet on the market; Patent-pending Permatone improves rhythmic articulation, clarity, response and control across the full dynamic spectrum; New flattened butt-end for improved flourish cord retention and rotation; New fascia joint seamlessly integrates the head with the shaft; Selection of premium synthetic furs available in black, red, white; Colour-coded high quality flourish cords with removable core can be used rounded or flattened to suit the preference of the player.","Drum Sticks and Mallets",tenor-tyfry-ult-b,Regular,100.00,Y,1,1,Y,0,,N,,,,,,Y
,"TyFry Ultimate Tenor Mallets WHITE","The new patent-pending TyFry Ultimate has many new key features resulting from years of research & development: New lighter weight, sleek fully integrated 8.25inch injection moulded shaft; Industry-leading engineering combining the strength and feel of traditional Malacca cane with a modern graphite metallic look; Cutting edge tri-density Permatone head technology has reduced weight in the head, refined balance and makes the Ultimate the most aerodynamic mallet on the market; Patent-pending Permatone improves rhythmic articulation, clarity, response and control across the full dynamic spectrum; New flattened butt-end for improved flourish cord retention and rotation; New fascia joint seamlessly integrates the head with the shaft; Selection of premium synthetic furs available in black, red, white; Colour-coded high quality flourish cords with removable core can be used rounded or flattened to suit the preference of the player.","Drum Sticks and Mallets",tenor-tyfry-ult-w,Regular,100.00,Y,0,0,Y,0,,N,,,,,,Y
,"Vic Firth Stick Bag","Vic Firth Drum Stick Bag","Drum Sticks and Mallets",MSBAG,Regular,16.19,Y,4,4,Y,0,,N,,,,,,Y
,"14""Snare, Ambassador?, Classic Hazy","14""Snare, Ambassador?, Classic Hazy","Drumheads Marching",CL-0114-SA,Regular,43.00,Y,1,1,Y,0,,N,,,,,,Y
,"Premier or Pearl Drumkey","This Heavy Duty Drum key will work on both Premier and Peal drums. The extra long handle is great for getting extra tension out of the drums. This is especially important when tuning up a snare drum. ",Drums,d-premier-drumkey,Regular,23.81,Y,8,8,Y,1,,N,,,,,,Y
,"TyFry Ultimate Tenor Mallets","The new patent-pending TyFry Ultimate has many new key features resulting from years of research & development: New lighter weight, sleek fully integrated 8.25inch injection moulded shaft; Industry-leading engineering combining the strength and feel of traditional Malacca cane with a modern graphite metallic look; Cutting edge tri-density Permatone head technology has reduced weight in the head, refined balance and makes the Ultimate the most aerodynamic mallet on the market; Patent-pending Permatone improves rhythmic articulation, clarity, response and control across the full dynamic spectrum; New flattened butt-end for improved flourish cord retention and rotation; New fascia joint seamlessly integrates the head with the shaft; Selection of premium synthetic furs available in black, red, white; Colour-coded high quality flourish cords with removable core can be used rounded or flattened to suit the preference of the player.",Drums,mallet-tenor-tyfry-u,Regular,100.00,Y,0,0,Y,0,,N,,,,,,Y
,"WATERPROOF DRUM COVER ","WATERPROOF DRUM COVER  by Mister Antony",Drums,drumraincover,Regular,20.00,Y,5,5,Y,1,,N,,,,,,Y
,"Earings ? Cross of 4 Seasons","Earings ? Cross of 4 Seasons",Earrings,Earings-4Seasons,Regular,15.00,Y,0,0,Y,1,,N,,,,,,Y
,"Earings ? Maple Leaf","Earings ? Maple Leaf",Earrings,Earings-ML-1,Regular,15.00,Y,0,0,Y,0,,N,,,,,,Y
,"Earings ? Maple Leaf ? Hard","Earings ? Maple Leaf ? Hard",Earrings,Earings-ML-Hard,Regular,15.00,Y,0,0,Y,0,,N,,,,,,Y
,"Earings ? Maple Leaf ? Overlap","Earings ? Maple Leaf ? Overlap",Earrings,Earings-ML-Overlap,Regular,15.00,Y,0,0,Y,0,,N,,,,,,Y
,"Earings ? Maple Leaf ? Soft","Earings ? Maple Leaf ? Soft",Earrings,Earings-ML-soft,Regular,15.00,Y,0,0,Y,0,,N,,,,,,Y
,"Earings ? Maple Leaf ? Stylized","Earings ? Maple Leaf ? Stylized",Earrings,Earings-ML-Stylized,Regular,15.00,Y,0,0,Y,0,,N,,,,,,Y
,"Earings ? Maple Leaf ? Two","Earings ? Maple Leaf ? Two",Earrings,Earings-ML-Two,Regular,15.00,Y,0,0,Y,0,,N,,,,,,Y
,"Ghillators US 10.5",,Footwear,U-FW-Ghilliators10.5,Regular,55.24,Y,2,2,Y,1,,N,,,,,,Y
,"Ghillators US 9.5",,Footwear,U-FW-Ghilliators9.5,Regular,55.24,Y,3,3,Y,1,,N,,,,,,Y
,"Ghillie Boots Size 10","Ghillie Boots Size 10",Footwear,Ghille-Boots-10,Regular,200.00,Y,1,1,Y,0,,N,,,,,,Y
,"Ghillie Boots Size 11","Ghillie Boots Size 11",Footwear,Ghille-Boots-11,Regular,200.00,Y,1,1,Y,0,,N,,,,,,Y
,"Ghillie Boots Size 12","Ghillie Boots Size 12",Footwear,Ghille-Boots-12,Regular,200.00,Y,0,0,Y,0,,N,,,,,,Y
,"Ghillie Boots Size 9","Ghillie Boots Size 9",Footwear,Ghille-Boots-9,Regular,200.00,Y,1,1,Y,0,,N,,,,,,Y
,"Ghillie Brogues size 10","Ghillie Brogues size 10",Footwear,U-GB-10,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Ghillie Brogues size 11","Ghillie Brogues size 11",Footwear,U-GB-11,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Ghillie Brogues size 12","Ghillie Brogues size 12",Footwear,U-GB-12,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Ghillie Brogues size 5","Ghillie Brogues size 5",Footwear,U-GB-5,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Ghillie Brogues size 6","Ghillie Brogues size 6",Footwear,U-GB-6,Regular,142.86,Y,1,1,Y,0,,N,,,,,,Y
,"Ghillie Brogues size 7","Ghillie Brogues size 7",Footwear,U-GB-7,Regular,142.86,Y,0,0,Y,0,,N,,,,,,Y
,"Ghillie Brogues size 8","Ghillie Brogues size 8",Footwear,U-GB-8,Regular,142.86,Y,0,0,Y,1,,N,,,,,,Y
,"Ghillie Brogues size 9","Ghillie Brogues size 9",Footwear,U-GB-9,Regular,142.86,Y,2,2,Y,0,,N,,,,,,Y
,"Ghillie Laces with Tassels","Ghillie Laces with Tassels",Footwear,U-g-laces,Regular,6.35,Y,5,5,Y,1,,N,,,,,,Y
,Spats,"White Spats - These Spats come with a Velcro strip for fastening. This gets away from having to do up each button individually. These spats are made of a bleached white material and easy to clean. Buttons are white. These spats are available in full sizes from 7 to 13. ",Footwear,u-spats,Regular,71.42,Y,0,0,Y,0,,N,,,,,,Y
,"Spats size 11","White Spats - These Spats come with a Velcro strip for fastening. This gets away from having to do up each button individually. These spats are made of a bleached white material and easy to clean. Buttons are white. These spats are available in full sizes from 7 to 13. ",Footwear,u-spats-11,Regular,71.42,Y,1,1,Y,0,,N,,,,,,Y
,"Spats size 12","White Spats - These Spats come with a Velcro strip for fastening. This gets away from having to do up each button individually. These spats are made of a bleached white material and easy to clean. Buttons are white. These spats are available in full sizes from 7 to 13. ",Footwear,u-spats-12,Regular,71.42,Y,1,1,Y,0,,N,,,,,,Y
,"Spats Used","Used White Spats",Footwear,u-spats-used,Regular,53.57,Y,1,1,Y,0,,N,,,,,,Y
,"Musical Teddy Bear 5""","Piper Teddy Musical - These little soft bears are a great little item for kids. Each bear is musical and plays ""Scotland the Brave"" when you press their bagpipes. ",Giftware,tedbear-music-5,Regular,11.43,Y,0,0,Y,0,,N,,,,,,Y
,"Musical Teddy Bear 8""","Piper Teddy Musical - These little soft bears are a great little item for kids. Each bear is musical and plays ""Scotland the Brave"" when you press their bagpipes. ",Giftware,tedbear-music-8,Regular,21.00,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan BowTie  - Black Watch ","Tartan BowTie  - Black Watch ",Giftware,BowTie-tartan-BW,Regular,15.24,Y,1,1,Y,0,,N,,,,,,Y
,"Tartan BowTie  - Cape Breton ","Tartan BowTie  - Cape Breton ",Giftware,BowTie-tartan-CB,Regular,15.24,Y,1,1,Y,0,,N,,,,,,Y
,"Tartan BowTie  - Maple Leaf ","Tartan BowTie  - Maple Leaf ",Giftware,BowTie-tartan-ML,Regular,15.24,Y,1,1,Y,0,,N,,,,,,Y
,"Tartan BowTie  - Newfoundland ","Tartan BowTie  - Newfoundland ",Giftware,BowTie-tartan-NFLD,Regular,15.24,Y,1,1,Y,0,,N,,,,,,Y
,"Tartan BowTie  - Nova Scotia ","Tartan BowTie  - Nova Scotia ",Giftware,BowTie-tartan-NS,Regular,15.24,Y,1,1,Y,0,,N,,,,,,Y
,"Tartan BowTie  - Royal Stewart ","Tartan BowTie  - Royal Stewart ",Giftware,BowTie-tartan-RS,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Black Watch LARGE","Tartan Slippers  - Black Watch LARGE",Giftware,Slippers-tartan-BW-LARGE,Regular,15.24,Y,1,1,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Black Watch SMALL","Tartan Slippers  - Black Watch SMALL",Giftware,Slippers-tartan-BW-SMALL,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Cape Breton LARGE","Tartan Slippers  - Cape Breton LARGE",Giftware,Slippers-tartan-CB-LARGE,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Cape Breton SMALL","Tartan Slippers  - Cape Breton SMALL",Giftware,Slippers-tartan-CB-SMALL,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Maple Leaf LARGE","Tartan Slippers  - Maple Leaf LARGE",Giftware,Slippers-tartan-ML-LARGE,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Maple Leaf SMALL","Tartan Slippers  - Maple Leaf SMALL",Giftware,Slippers-tartan-ML-SMALL,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Newfoundland LARGE","Tartan Slippers  - Newfoundland LARGE",Giftware,Slippers-tartan-NFLD-LARGE,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Newfoundland SMALL","Tartan Slippers  - Newfoundland SMALL",Giftware,Slippers-tartan-NFLD-SMALL,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Nova Scotia LARGE","Tartan Slippers  - Nova Scotia LARGE",Giftware,Slippers-tartan-NS-LARGE,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Nova Scotia SMALL","Tartan Slippers  - Nova Scotia SMALL",Giftware,Slippers-tartan-NS-SMALL,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Royal Stewart LARGE","Tartan Slippers  - Royal Stewart LARGE",Giftware,Slippers-tartan-RS-LARGE,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Tartan Slippers  - Royal Stewart SMALL","Tartan Slippers  - Royal Stewart SMALL",Giftware,Slippers-tartan-RS-SMALL,Regular,15.24,Y,0,0,Y,0,,N,,,,,,Y
,"Beer Mug ? Claddagh","Beer Mug ? Claddagh",Glassware,BeerMug-Claddagh,Regular,23.81,Y,0,0,Y,0,,N,,,,,,Y
,"Beer Mug ? dancer","Beer Mug ? dancer",Glassware,BeerMug-dancer,Regular,23.81,Y,1,1,Y,0,,N,,,,,,Y
,"Beer Mug ? dancer-Irish","Beer Mug ? dancer-Irish",Glassware,BeerMug-dancer-Irish,Regular,23.81,Y,0,0,Y,0,,N,,,,,,Y
,"Beer Mug ? Drummer","Beer Mug ? Drummer",Glassware,BeerMug-Drummer,Regular,23.81,Y,0,0,Y,1,,N,,,,,,Y
,"Beer Mug ? Piper","Beer Mug ? Piper",Glassware,BeerMug-piper,Regular,23.81,Y,1,1,Y,0,,N,,,,,,Y
,"Beer Mug ? Piper-Standing","Beer Mug ? Piper-Standing",Glassware,BeerMug-Piper-Standing,Regular,23.81,Y,1,1,Y,0,,N,,,,,,Y
,"Beer Mug ? Thistle","Beer Mug ? Thistle",Glassware,BeerMug-Thistle,Regular,23.81,Y,0,0,Y,0,,N,,,,,,Y
,"Champagne Glass ? Claddagh","Champagne Glass ? Claddagh",Glassware,Champagne-Claddagh,Regular,28.57,Y,1,1,Y,0,,N,,,,,,Y
,"Champagne Glass ? dancer","Champagne Glass ? dancer",Glassware,Champagne-dancer,Regular,28.57,Y,0,0,Y,0,,N,,,,,,Y
,"Champagne Glass ? Thistle","Champagne Glass ? Thistle",Glassware,Champagne-Thistle,Regular,28.57,Y,0,0,Y,0,,N,,,,,,Y
,"Pilsner Glass ? Drummer","Pilsner Glass ? Drummer",Glassware,Pilsner-Drummer,Regular,33.33,Y,0,0,Y,1,,N,,,,,,Y
,"Pilsner Glass ? Piper","Pilsner Glass ? Piper",Glassware,Pilsner-piper,Regular,33.33,Y,0,0,Y,1,,N,,,,,,Y
,"Rock Glass - Clan","Rock Glass - Clan - This heavy duty drink glass is a nice way to dress up your drink and displays nicely on your home bar.",Glassware,Rock-Clan,Regular,19.05,Y,1,1,Y,1,,N,,,,,,Y
,"Rock Glass ? Drummer","Rock Glass ? Drummer",Glassware,Rock-Drummer,Regular,19.05,Y,0,0,Y,1,,N,,,,,,Y
,"Rock Glass ? Piper","Rock Glass ? Piper",Glassware,Rock-piper,Regular,19.05,Y,0,0,Y,1,,N,,,,,,Y
,"Rock Glass ? Thistle","Rock Glass ? Thistle",Glassware,Rock-Thistle,Regular,19.05,Y,0,0,Y,0,,N,,,,,,Y
,"Shooter Glass ? Claddagh","Shooter Glass ? Claddagh",Glassware,Shooter-Claddagh,Regular,12.86,Y,1,1,Y,0,,N,,,,,,Y
,"Shooter Glass ? dancer","Shooter Glass ? dancer",Glassware,Shooter-dancer,Regular,12.86,Y,1,1,Y,0,,N,,,,,,Y
,"Shooter Glass ? Drummer","Shooter Glass ? Drummer",Glassware,Shooter-Drummer,Regular,12.86,Y,0,0,Y,1,,N,,,,,,Y
,"Shooter Glass ? Piper ? Standing","Shooter Glass ? Piper ? Standing",Glassware,Shooter-piper-standing,Regular,12.86,Y,0,0,Y,1,,N,,,,,,Y
,"Shooter Glass ? Thistle","Shooter Glass ? Thistle",Glassware,Shooter-Thistle,Regular,12.86,Y,1,1,Y,0,,N,,,,,,Y
,"Shot Glass ? dancer","Shot Glass ? dancer",Glassware,Shot-dancer,Regular,13.33,Y,1,1,Y,0,,N,,,,,,Y
,"Shot Glass ? Drummer","Shot Glass ? Drummer",Glassware,Shot-Drummer,Regular,13.33,Y,1,1,Y,0,,N,,,,,,Y
,"Shot Glass ? Piper ? Standing","Shot Glass ? Piper ? Standing",Glassware,Shot-piper-standing,Regular,13.33,Y,0,0,Y,1,,N,,,,,,Y
,"Shot Glass ? Thistle","Shot Glass ? Thistle",Glassware,Shot-Thistle,Regular,13.33,Y,0,0,Y,1,,N,,,,,,Y
,"Wine Glass ? Claddagh","Wine Glass ? Claddagh",Glassware,Wine-Claddagh,Regular,28.57,Y,0,0,Y,0,,N,,,,,,Y
,"Wine Glass ? dancer","Wine Glass ? dancer",Glassware,Wine-dancer,Regular,29.52,Y,0,0,Y,0,,N,,,,,,Y
,"Wine Glass ? dancer-Irish","Wine Glass ? dancer-Irish",Glassware,Wine-dancer-Irish,Regular,28.57,Y,1,1,Y,0,,N,,,,,,Y
,"Wine Glass ? Piper","Wine Glass ? Piper",Glassware,Wine-piper,Regular,28.57,Y,1,1,Y,0,,N,,,,,,Y
,"Wine Glass ? Thistle","Wine Glass ? Thistle",Glassware,Wine-Thistle,Regular,28.57,Y,1,1,Y,0,,N,,,,,,Y
,"Bagpipe Cap Badge","Bagpipe Cap Badge Chrome finish.

Pin at the back to secure it onto your hat. ",Headwear,badge-bagpipe,Regular,19.05,Y,8,8,Y,1,,N,,,,,,Y
,"Black 3 Inch Feather Hackle","Black 3 Inch Feather Hackle",Headwear,hackle-3-black,Regular,19.05,Y,0,0,Y,0,,N,,,,,,Y
,"Blue 3 Inch Feather Hackle","Blue 3 Inch Feather Hackle",Headwear,hackle-3-blue,Regular,19.05,Y,1,1,Y,0,,N,,,,,,Y
,"Blue over White 3 Inch Feather Hackle","Blue over White 3 Inch Feather Hackle",Headwear,hackle-3-blue-white,Regular,19.05,Y,1,1,Y,0,,N,,,,,,Y
,"Cap Badge - Clan Crested","Clan crested cap badges, a variety to choose from, 1.75"" diameter.

In ancient times a Chief wore in battle a distinguishing badge on his helmet a device which his followers could recognize in the turmoil of action.",Headwear,u-cb-clan,Regular,20.00,Y,0,0,Y,0,,N,,,,,,Y
,"Dress Gordon Tartan Tammy Hat","tammy made of pure wool body, can be customized in any color or style.
One size fits all elasticated trim to stay warm, any changing possible. ",Headwear,hat-wool-tammy-dgord,Regular,21.00,Y,3,3,Y,0,,N,,,,,,Y
,"Drummers Glen size 57 (7 1/8)","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend57,Regular,52.38,Y,0,0,Y,0,,N,,,,,,Y
,"Drummers Glen size 58 (7 1/4)","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend58,Regular,52.38,Y,0,0,Y,0,,N,,,,,,Y
,"Drummers Glen size 59 (7 3/8)","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend59,Regular,52.38,Y,0,0,Y,0,,N,,,,,,Y
,"Drummers Glen size 60cm (7 1/2)","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend60,Regular,52.38,Y,0,0,Y,0,,N,,,,,,Y
,"Drummers Glen size 61 (7 5/8)","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend61,Regular,52.38,Y,5,5,Y,1,,N,,,,,,Y
,"Drummers Glen size 7","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend7,Regular,52.38,Y,3,3,Y,1,,N,,,,,,Y
,"Drummers Glen size 7.5","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend75,Regular,52.38,Y,7,7,Y,0,,N,,,,,,Y
,"Drummers Glen size 7.75","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend775,Regular,52.38,Y,4,4,Y,0,,N,,,,,,Y
,"Drummers Glen size 8","Diced Glengarry - This Diced Glengarry is black in color with a red tourie. It has red, white and black dicing. It comes in various sizes. All of our Glengarries are made in Canada. Available sizes - 6 3/4, 7, 7 1/4, 7 1/2, 7 3/4.

Note: If you are not sure of your head size, the easiest way to figure it out is to take a soft tape measure and measure the circumference of your head. Then divide that number by 3.14. an example would be 22""divided into 3.14 is would be 7.0006, therefore you would need a size 7.",Headwear,U-glend8,Regular,52.38,Y,1,1,Y,0,,N,,,,,,Y
,"Fraser Tartan Tammy Hat","tammy made of pure wool body, can be customized in any color or style.
One size fits all elasticated trim to stay warm, any changing possible. ",Headwear,hat-wool-tammy-frase,Regular,21.00,Y,5,5,Y,1,,N,,,,,,Y
,"Lion Cap Badge","Lion Cap Badge Chrome finish.
MEASURES 1.5"" (4CM) x 1.5"" (4CM). ",Headwear,badge-lion,Regular,19.05,Y,10,10,Y,1,,N,,,,,,Y
,"Lion Cap Badge w/ Belt","Lion Cap Badge Chrome finish.
MEASURES 2"" (5cm) x 2"" (5cm).
Pin at the back to secure it onto your hat. ",Headwear,badge-belt-lion,Regular,19.05,Y,10,10,Y,0,,N,,,,,,Y
,"MacKenzie Tartan Tammy Hat","tammy made of pure wool body, can be customized in any color or style.
One size fits all elasticated trim to stay warm, any changing possible. ",Headwear,hat-wool-tammy-mc,Regular,21.00,Y,0,0,Y,1,,N,,,,,,Y
,"Pipers Glen size 7 (56cm)","This Plain Glengarry is black in color with a red tourie.

Glengarry (also Glengarry bonnet or Glengarry cap) is a boat-shaped cap without a peak made of thick-milled woollen material with a toorie or bobble on top and ribbons hanging down behind. ",Headwear,U-glen7,Regular,52.38,Y,4,4,Y,1,,N,,,,,,Y
